"(0,0)","(0,1)",,,,,
"(1,0)","(1,1)",,,,,
Dimensions,Height,"(2,2)",Width,"(2,4)",Depth,"(2,6)"
"(3,0)","(3,1)",,,,,
Camera,"(4,1)","(4,2)",,,,
"(5,0)","(5,1)",,,,,
,,,,,,
"(7,0)","(7,1)",,,,,
"(8,0)","(8,1)",,,,,
Dimensions,Width,"(9,2)",Height,"(9,4)",Depth,"(9,6)"
"(10,0)","(10,1)",,,,,
Camera,"(11,1)","(11,2)",,,,
"(12,0)","(12,1)",,,,,
,,,,,,
"(14,0)","(14,1)",,,,,
"(15,0)","(15,1)",,,,,
Dimensions,"(16,1)","(16,2)","(16,3)","(16,4)","(16,5)","(16,6)"
"(17,0)","(17,1)",,,,,
Camera,"(18,1)","(18,2)",,,,
"(19,0)","(19,1)",,,,,
,,,,,,
"(21,0)","(21,1)",,,,,
"(22,0)","(22,1)",,,,,
Dimensions,"(23,1)","(23,2)","(23,3)","(23,4)","(23,5)","(23,6)"
"(24,0)","(24,1)",,,,,
Camera,"(25,1)","(25,2)",,,,
"(26,0)","(26,1)",,,,,
,,,,,,
"(28,0)","(28,1)",,,,,
"(29,0)","(29,1)",,,,,
Dimensions,Height,"(30,2)",Width,"(30,4)",Depth,"(30,6)"
"(31,0)","(31,1)",,,,,
Camera,"(32,1)","(32,2)",,,,
"(33,0)","(33,1)",,,,,
