"(0,0)","(0,1)",,,,,
Release Date,"(1,1)",,,,,
Dimensions,Height,"(2,2)",Width,"(2,4)",Depth,"(2,6)"
Weight,"(3,1)",,,,,
Camera,"(4,1)","(4,2)",,,,
Battery,"(5,1)",,,,,
,,,,,,
"(7,0)","(7,1)",,,,,
Release Date,"(8,1)",,,,,
Dimensions,Width,"(9,2)",Height,"(9,4)",Depth,"(9,6)"
Weight,"(10,1)",,,,,
Camera,"(11,1)","(11,2)",,,,
Battery,"(12,1)",,,,,
,,,,,,
"(14,0)","(14,1)",,,,,
Announced Date,"(15,1)",,,,,
Dimensions,H,143.4 mm,W,70.5 mm,D,6.8 mm
Weight,"(17,1)",,,,,
Camera,"(18,1)","(18,2)",,,,
Battery,"(19,1)",,,,,
,,,,,,
"(21,0)","(21,1)",,,,,
Announced Date,"(22,1)",,,,,
Dimensions,W,76.1 mm,H,153.2 mm,D,7.6 mm
Weight,"(24,1)",,,,,
Camera,"(25,1)","(25,2)",,,,
Battery,"(26,1)",,,,,
,,,,,,
"(28,0)","(28,1)",,,,,
Release Date,"(29,1)",,,,,
Dimensions,Height,"(30,2)",Width,"(30,4)",Depth,"(30,6)"
Weight,"(31,1)",,,,,
Camera,"(32,1)","(32,2)",,,,
Battery,"(33,1)",,,,,
