Characteristic,Placebo (N = 78),Ivacaftor (N = 83),Total (N = 161)
Sex — no. (%),,,
Male,38 (49),39 (47),77 (48)
Female,40 (51),44 (53),84 (52)
Non-Hispanic or white — no. (%)†,77 (99),81 (98),158 (98)
Geographic distribution — no. (%),,,
North America,50 (64),50 (60),100 (62)
Europe,19 (24),23 (28),42 (26)
Australia,9 (12),10 (12),19 (12)
Age — yr,,,
Mean,24.7,26.2,25.5
Range,12–53,12–53,12–53
Age distribution — no. (%),,,
<18 yr,17 (22),19 (23),36 (22)
≥18 yr,61 (78),64 (77),125 (78)
Height — cm,,,
Mean,166.5,167.7,167.1
Range,142.2–189.8,142.8–185.0,142.2–189.8
Weight — kg,,,
Mean,61.2,61.7,61.5
Range,31.9–109.9,30.2–107.2,30.2–109.9
Body-mass index<sup>‡</sup>,,,
Mean,21.9,21.7,21.8
Range,15.2–38.6,14.8–38.9,14.8–38.9
Positive for Pseudomonas aeruginosa — no. (%),57 (73),64 (77),122 (76)
Non–<em>G551D-CFTR</em> allele — no. (%)<sup>§</sup>,,,
Class I,11 (14),10 (12),21 (13)
Class II¶,62 (79),70 (84),132 (82)
Class III||,1 (1),0,1 (1)
Class IV,2 (3),2 (2),4 (2)
Class V,1 (1),0,1 (1)
Unknown,1 (1),1 (1),2 (1)
FEV<sub>1&nbsp;</sub>% of predicted value,,,
Mean,63.7,63.5,63.6
Range,31.6–97.1,37.3–98.2,31.6–98.2
FEV1 Distribution — no. (%),,,
<70% of predicted value,45 (58),49 (59),94 (58)
≥70% of predicted value,33 (42),34 (41),67 (42)
Sweat chloride — mmol/liter,,,
Mean,100.1,100.4,100.2
Range,58.0–121.5,74.5–128.0,58.0–128.0
