EmployeeID,Employee Name,Period End Date,Pay Frequency,Location,Number of,Description,Hours,Amount
"[4,0]","[4,1]","[8,0]","[8,1]","[8,3]","[8,4]",,,
"[4,0]","[4,1]",,,,,"[9,5]","[9,10]","[9,11]"
"[4,0]","[4,1]",,,,,"[10,5]","[10,10]","[9,11]"
"[4,0]","[4,1]",,,,,"[11,5]","[10,10]","[10,10]"
"[4,0]","[4,1]",,,,,"[12,5]","[10,10]","[9,11]"
"[4,0]","[4,1]","[13,0]","[8,1]","[8,3]","[8,4]",,,
"[4,0]","[4,1]",,,,,"[9,5]","[14,10]","[14,11]"
"[4,0]","[4,1]",,,,,"[10,5]","[10,10]","[14,11]"
"[4,0]","[4,1]",,,,,"[11,5]","[10,10]","[16,11]"
"[4,0]","[4,1]",,,,,"[12,5]","[10,10]","[17,11]"
"[4,0]","[4,1]",,,,,"[18,5]","[10,10]","[18,11]"
"[4,0]","[4,1]","[19,0]","[8,1]","[8,3]","[8,4]",,,
"[4,0]","[4,1]",,,,,"[9,5]","[20,10]","[20,11]"
"[4,0]","[4,1]",,,,,"[10,5]","[10,10]","[20,11]"
"[4,0]","[4,1]",,,,,"[11,5]","[10,10]","[22,11]"
"[4,0]","[4,1]",,,,,"[12,5]","[10,10]","[23,11]"
"[4,0]","[4,1]",,,,,"[18,5]","[11,10]","[24,11]"
"[30,0]","[30,1]","[34,0]","[34,1]","[34,3]","[34,4]",,,
"[30,0]","[30,1]",,,,,"[35,5]","[35,10]","[35,11]"
"[30,0]","[30,1]",,,,,"[36,5]","[24,10]","[35,11]"
"[30,0]","[30,1]",,,,,"[37,5]","[36,10]","[37,11]"
"[30,0]","[30,1]",,,,,"[38,5]","[36,10]","[38,11]"
"[30,0]","[30,1]",,,,,"[39,5]","[36,10]","[39,11]"
"[30,0]","[30,1]","[40,0]","[34,1]","[34,3]","[40,4]",,,
"[30,0]","[30,1]",,,,,"[35,5]","[41,10]","[41,11]"
"[30,0]","[30,1]",,,,,"[36,5]","[24,10]","[41,11]"
"[30,0]","[30,1]",,,,,"[37,5]","[36,10]","[43,11]"
"[30,0]","[30,1]",,,,,"[38,5]","[36,10]","[44,11]"
"[30,0]","[30,1]",,,,,"[39,5]","[36,10]","[45,11]"
"[30,0]","[30,1]","[46,0]","[34,1]","[34,3]","[40,4]",,,
"[30,0]","[30,1]",,,,,"[35,5]","[47,10]","[47,11]"
"[30,0]","[30,1]",,,,,"[48,5]","[48,10]","[48,11]"
"[30,0]","[30,1]",,,,,"[36,5]","[36,10]","[49,11]"
"[30,0]","[30,1]",,,,,"[37,5]","[24,10]","[50,11]"
"[30,0]","[30,1]",,,,,"[38,5]","[37,10]","[51,11]"
"[30,0]","[30,1]",,,,,"[39,5]","[37,10]","[52,11]"
"[58,0]","[58,1]","[62,0]","[62,1]","[62,3]","[62,4]",,,
"[58,0]","[58,1]",,,,,"[63,5]","[63,10]","[63,11]"
"[58,0]","[58,1]",,,,,"[64,5]","[52,10]","[63,11]"
"[58,0]","[58,1]",,,,,"[65,5]","[52,10]","[65,11]"
"[58,0]","[58,1]",,,,,"[51,5]","[52,10]","[66,11]"
"[58,0]","[58,1]",,,,,"[52,5]","[52,10]","[67,11]"
"[58,0]","[58,1]","[68,0]","[62,1]","[62,3]","[62,4]",,,
"[58,0]","[58,1]",,,,,"[63,5]","[63,10]","[63,11]"
"[58,0]","[58,1]",,,,,"[64,5]","[52,10]","[63,11]"
"[58,0]","[58,1]",,,,,"[65,5]","[52,10]","[65,11]"
"[58,0]","[58,1]",,,,,"[51,5]","[52,10]","[66,11]"
"[58,0]","[58,1]",,,,,"[52,5]","[52,10]","[67,11]"
"[58,0]","[58,1]","[74,0]","[62,1]","[62,3]","[62,4]",,,
"[58,0]","[58,1]",,,,,"[63,5]","[63,10]","[63,11]"
"[58,0]","[58,1]",,,,,"[64,5]","[52,10]","[63,11]"
"[58,0]","[58,1]",,,,,"[65,5]","[52,10]","[65,11]"
"[58,0]","[58,1]",,,,,"[51,5]","[52,10]","[66,11]"
"[58,0]","[58,1]",,,,,"[52,5]","[52,10]","[67,11]"
"[85,0]","[85,1]","[89,0]","[89,1]","[89,3]","[89,4]",,,
"[85,0]","[85,1]",,,,,"[90,5]","[90,10]","[90,11]"
"[85,0]","[85,1]",,,,,"[91,5]","[91,10]","[91,11]"
"[85,0]","[85,1]",,,,,"[92,5]","[92,10]","[92,11]"
"[85,0]","[85,1]",,,,,"[93,5]","[92,10]","[93,11]"
"[85,0]","[85,1]",,,,,"[94,5]","[92,10]","[94,11]"
"[85,0]","[85,1]",,,,,"[95,5]","[92,10]","[95,11]"
"[85,0]","[85,1]","[96,0]","[89,1]","[89,3]","[89,4]",,,
"[85,0]","[85,1]",,,,,"[90,5]","[97,10]","[97,11]"
"[85,0]","[85,1]",,,,,"[91,5]","[91,10]","[98,11]"
"[85,0]","[85,1]",,,,,"[92,5]","[92,10]","[99,11]"
"[85,0]","[85,1]",,,,,"[93,5]","[92,10]","[100,11]"
"[85,0]","[85,1]",,,,,"[101,5]","[79,10]","[101,11]"
"[85,0]","[85,1]",,,,,"[94,5]","[92,10]","[102,11]"
"[85,0]","[85,1]",,,,,"[79,5]","[79,10]","[103,11]"
"[85,0]","[85,1]","[74,0]","[89,1]","[89,3]","[89,4]",,,
"[85,0]","[85,1]",,,,,"[97,5]","[105,10]","[105,11]"
"[85,0]","[85,1]",,,,,"[106,5]","[91,10]","[106,11]"
"[85,0]","[85,1]",,,,,"[92,5]","[92,10]","[107,11]"
"[85,0]","[85,1]",,,,,"[93,5]","[93,10]","[108,11]"
"[85,0]","[85,1]",,,,,"[94,5]","[93,10]","[109,11]"
"[85,0]","[85,1]",,,,,"[95,5]","[93,10]","[110,11]"
"[116,0]","[116,1]","[120,0]","[120,1]","[120,3]","[120,4]",,,
"[116,0]","[116,1]",,,,,"[121,5]","[121,10]","[121,11]"
"[116,0]","[116,1]",,,,,"[122,5]","[110,10]","[121,11]"
"[116,0]","[116,1]",,,,,"[123,5]","[110,10]","[123,11]"
"[116,0]","[116,1]",,,,,"[124,5]","[122,10]","[124,11]"
"[116,0]","[116,1]","[125,0]","[120,1]","[120,3]","[120,4]",,,
"[116,0]","[116,1]",,,,,"[121,5]","[126,10]","[126,11]"
"[116,0]","[116,1]",,,,,"[122,5]","[110,10]","[126,11]"
"[116,0]","[116,1]",,,,,"[123,5]","[110,10]","[110,10]"
"[116,0]","[116,1]",,,,,"[109,5]","[110,10]","[126,11]"
"[116,0]","[116,1]",,,,,"[110,5]","[110,10]","[130,11]"
"[116,0]","[116,1]","[131,0]","[120,1]","[120,3]","[120,4]",,,
"[116,0]","[116,1]",,,,,"[121,5]","[132,10]","[132,11]"
"[116,0]","[116,1]",,,,,"[122,5]","[110,10]","[132,11]"
"[116,0]","[116,1]",,,,,"[123,5]","[110,10]","[110,10]"
"[116,0]","[116,1]",,,,,"[109,5]","[110,10]","[132,11]"
"[116,0]","[116,1]",,,,,"[130,5]","[123,10]","[136,11]"
"[116,0]","[116,1]","[137,0]","[125,1]","[125,3]","[125,4]",,,
"[116,0]","[116,1]",,,,,"[122,5]","[110,10]","[110,10]"
